title,cosine_similarity,movie_id,similar_movie_id
mars attacks!,0.85273564,257,235
die hard 2,0.8575982,550,226
cats don't dance,0.8578964,391,989
die hard,0.8903162,226,144
everest,0.8536722,690,1594
tombstone,0.912098,570,470
interview with the vampire,0.87440217,693,559
kicking & screaming,0.85895956,237,695
spawn,0.86057353,210,358
star trek: generations,0.8584626,222,380
ri¢hie ri¢h,0.86365044,695,795
star trek v: the final frontier,0.87990665,449,450
mortal kombat,0.85081375,1419,541
things to do in denver when you're dead,0.8606825,182,544
wild things,0.8513482,352,914
much ado about nothing,0.85813797,778,83
brazil,0.8650852,27,175
jaws,0.89407563,452,234
little women,0.85611176,204,699
shooting fish,0.85853285,248,1434
henry v,0.8922171,10,190
